kljuc;naziv
9943;Porezi i druga davanja
9944;Èisti dobitak
9947;Trošak kamata buduæeg razdoblja
995;Izvori materijalne imovine
9950;Obveze prema vlasnicima robe u komisiji i konsignaciji (tuða sredstva)
9951;Vlasnici materijala i robe u doradi
9952;Vlasnici pozajmljenih strojeva i alata
9953;Skladište zaštitne odjeæe i obuæe
9954;Vlasnici robe u našim skladištima
9955;Vlasnici ambalaže u korištenju
9956;Ortaci - vlasništvo ortaèke zajednice
9957;Obveze za materijale u doradi - lohnu
9958;Obveze za robu u izvozu (tuða roba)
9959;Vlasnici zemljišta i zgrada u zakupu
996;Izvori prava
9960;Izvor prava na korištenje
9961;Krediti odobreni
9962;Dužnici po hipoteci
9963;Ulagaèi u materijalna prava
9964;Izvori prava loro-akreditiva (domaæi partneri)
9965;Izvori prava loro-akreditiva (inozemni partneri)
9966;Ratne reparacije i nadoknade šteta
9967;Obveze zastupnika iz prodaje prema nalogodavcu
997;Obveze za vrijednosne papire koji nisu stavljeni u optjecaj
9970;Obveze za èekove i mjenice za osiguranje otplate anuiteta za robne i financijske kredite
9971;Jamstva od dužnika kao instrument plaæanja
9972;Obveze za primljene zadužnice
9973;Ostali vrijednosni papiri koji nisu stavljeni u optjecaj
9974;Obveze za izdane zadužnice
9975;Obveze za izdane mjenice
9976;Obveze za korištene garancije u tijeku
998;Obveze za izdane vrijednosnice u manipulaciji
9980;Obveznice i druge vrijednosnice
9981;Vrijednosni papiri (obveznice, dionice)
9982;Vrijednost zalihe blokova ulaznica
9983;Prodajna mjesta za izdane obveznice
9987;Kamate sadržane u vrijednosnicama ili obraèunima
999;Obveze s osnove investicijskog pothvata
9990;Obveze prema ulagaèima
9991;Izvori prihoda - priljeva
9992;Ukalkulirani - planirani dobitak
9993;Obveze za porez i druga javna davanja
9994;Obveze iz planiranog èistog dobitka
